,name,github_id,category,labels,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing,new_addition,latest_stable_release_published_at,latest_stable_release_number,release_count,github_release_downloads,monthly_downloads,npm_id,npm_url,npm_monthly_downloads
0,CCXT,ccxt/ccxt,libraries-api,"['python', 'nodejs', 'php']",https://github.com/ccxt/ccxt,https://github.com/ccxt/ccxt,MIT,2017-05-14 15:41:56,2023-01-07 17:53:14,2023-01-07 17:15:52,67691,2688.0,6160,932,8274,617.0,7398.0,26800,A JavaScript / Python / PHP cryptocurrency trading API with support for more than 100 bitcoin/altcoin exchanges.,3794.0,3794.0,712.0,35,True,1,True,,,,,,,,
1,Freqtrade,freqtrade/freqtrade,bots-frameworks,['python'],https://github.com/freqtrade/freqtrade,https://github.com/freqtrade/freqtrade,GPL-3.0,2017-05-17 23:48:53,2023-01-07 15:32:14,2023-01-07 15:32:11,19308,945.0,4108,596,4451,42.0,3461.0,20252,"Free, open source crypto trading bot.",,,284.0,30,True,1,,2022-12-29 16:45:41,2022.12,66.0,,,,,
2,Hummingbot,hummingbot/hummingbot,bots-frameworks,['python'],https://github.com/hummingbot/hummingbot,https://github.com/hummingbot/hummingbot,Apache-2.0,2019-04-02 21:41:52,2023-01-06 18:35:20,2022-12-21 11:52:41,18363,693.0,1727,130,3336,399.0,2258.0,5166,Hummingbot is open source software that helps you build trading bots that run on any exchange or blockchain.,,,198.0,28,True,2,,2022-12-21 11:58:35,1.11.0,74.0,30.0,0.0,,,
3,Lean,QuantConnect/Lean,bots-frameworks,"['python', 'csharp']",https://github.com/QuantConnect/Lean,https://github.com/QuantConnect/Lean,Apache-2.0,2014-11-28 04:20:19,2023-01-07 00:37:42,2023-01-07 00:10:08,11635,83.0,2624,408,4122,439.0,2259.0,6970,"Lean Algorithmic Trading Engine by QuantConnect (Python, C#).",,,183.0,27,True,2,,2017-08-08 20:57:57,2.4.0.1,8.0,,,,,
4,Node.js & Typescript Binance API SDK,tiagosiebler/binance,libraries-api,['nodejs'],https://github.com/tiagosiebler/binance,https://github.com/tiagosiebler/binance,MIT,2017-08-15 14:28:56,2023-01-06 19:57:08,2022-12-20 16:30:26,437,75.0,185,28,148,24.0,113.0,525,"Node.js SDK for the Binance APIs and WebSockets, with TypeScript & browser support, integration tests, beautification..",773.0,773.0,38.0,25,True,2,True,,,,,7765.0,binance,https://www.npmjs.com/package/binance,7765.0
5,Jesse,jesse-ai/jesse,bots-frameworks,['python'],https://github.com/jesse-ai/jesse,https://github.com/jesse-ai/jesse,MIT,2018-11-09 10:38:44,2023-01-04 10:41:48,2022-12-28 10:30:46,2049,45.0,560,183,291,3.0,87.0,4387,An advanced crypto trading bot written in Python.,21.0,21.0,43.0,23,True,3,,,,,,,,,
6,Node.js & Typescript Bybit API SDK,tiagosiebler/bybit-api,libraries-api,['nodejs'],https://github.com/tiagosiebler/bybit-api,https://github.com/tiagosiebler/bybit-api,MIT,2020-07-21 09:53:38,2023-01-07 12:12:08,2023-01-07 12:12:04,589,76.0,48,7,143,10.0,63.0,107,"Node.js SDK for the Bybit APIs and WebSockets, with TypeScript & browser support.",78.0,78.0,19.0,23,True,2,True,2022-09-19 23:37:03,3.0.1,9.0,,3878.0,bybit-api,https://www.npmjs.com/package/bybit-api,3878.0
7,Blackbird,butor/blackbird,bots-frameworks,['cplusplus'],https://github.com/butor/blackbird,https://github.com/butor/blackbird,MIT,2015-03-09 00:21:13,2022-07-28 00:07:14,2020-08-26 13:59:01,514,,1032,389,95,217.0,231.0,5673,Blackbird Bitcoin Arbitrage: a long/short market-neutral strategy.,,,46.0,18,False,3,True,,,,,,,,
8,binance-java-api,binance-exchange/binance-java-api,libraries-api,['java'],https://github.com/binance-exchange/binance-java-api,https://github.com/binance-exchange/binance-java-api,MIT,2017-10-20 11:23:10,2023-01-03 18:02:12,2021-06-25 22:24:51,208,,620,96,134,110.0,184.0,797,"binance-java-api is a lightweight Java library for the Binance API, supporting synchronous and asynchronous requests,..",,,43.0,17,False,3,True,,,,,,,,
9,Mida,Reiryoku-Technologies/Mida,bots-frameworks,['nodejs'],https://github.com/Reiryoku-Technologies/Mida,https://github.com/Reiryoku-Technologies/Mida,MIT,2020-09-21 19:13:08,2023-01-06 16:03:08,2023-01-06 00:18:08,839,9.0,18,13,54,12.0,16.0,262,The open-source and cross-platform trading framework.,16.0,16.0,3.0,16,True,3,,2022-12-06 19:24:20,2022.5.0,15.0,,,,,
